ID,Relationship_Status,Income,Children,Kidhome,Teenhome,Enroll_Age,Wines,Fruits,Meat,Fish,Sweets,Gold,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,NumWebVisitsMonth,Age,Family_Size,CampAccepted,Education,spend_per_unit_income,labels
5524,0,58138.0,0,0,0,10,635,88,546,172,88,88,0,0,0,0,0,1,8,10,4,3,7,65,1,0,1.0,0.027813134266744644,1
2174,0,46344.0,2,1,1,8,11,1,6,2,1,6,0,0,0,0,0,0,1,1,2,2,5,68,3,0,1.0,0.0005825996892801658,2
4141,1,71613.0,0,0,0,9,426,49,127,111,21,42,0,0,0,0,0,0,8,2,10,1,4,57,2,0,1.0,0.010836021392763883,0
6182,1,26646.0,1,1,0,8,11,4,20,10,3,5,0,0,0,0,0,0,2,0,4,2,6,38,3,0,1.0,0.0019890415071680554,0
5324,1,58293.0,1,1,0,8,173,43,118,46,27,15,0,0,0,0,0,0,5,3,6,5,5,41,3,0,3.0,0.007239291167035493,0
7446,1,62513.0,1,0,1,9,520,42,98,0,42,14,0,0,0,0,0,0,6,4,10,2,6,55,3,0,2.0,0.011453617647529314,0
965,0,55635.0,1,0,1,10,235,65,164,50,49,27,0,0,0,0,0,0,7,3,7,4,6,51,2,0,1.0,0.010604835085827267,2
6177,1,33454.0,1,1,0,9,76,10,56,3,1,23,0,0,0,0,0,0,4,0,4,2,8,37,3,0,3.0,0.0050517127996652115,0
4855,1,30351.0,1,1,0,9,14,0,24,3,3,2,0,0,0,0,0,1,3,0,2,1,9,48,3,0,3.0,0.001515600803927383,0
5899,1,5648.0,2,1,1,8,28,0,6,1,1,13,0,0,1,0,0,0,1,0,0,1,20,72,4,1,3.0,0.008675637393767706,0
387,1,7500.0,0,0,0,10,6,16,11,11,1,16,0,0,0,0,0,0,2,0,3,1,8,46,2,0,0.0,0.008133333333333333,0
